year,ticker,comname,fieldid,fieldname,value,valuescore
2019,GOOGL,ALPHABET INC.,99,EmissionReductionTargetPercentage,50,
2019,GOOGL,ALPHABET INC.,100,EmissionReductionTargetYear,2025,
2020,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.7798711702
2020,GOOGL,ALPHABET INC.,92,CarbonOffsetsCredits,3606,
2020,GOOGL,ALPHABET INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.8982300885
2020,GOOGL,ALPHABET INC.,99,EmissionReductionTargetPercentage,100,
2020,GOOGL,ALPHABET INC.,100,EmissionReductionTargetYear,2025,
2021,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.7943840945
2021,GOOGL,ALPHABET INC.,92,CarbonOffsetsCredits,1815,
2021,GOOGL,ALPHABET INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.8509803922
2021,GOOGL,ALPHABET INC.,99,EmissionReductionTargetPercentage,50,
2021,GOOGL,ALPHABET INC.,100,EmissionReductionTargetYear,2030,
2022,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.8182791663
2022,GOOGL,ALPHABET INC.,92,CarbonOffsetsCredits,1326,
2022,GOOGL,ALPHABET INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.7797281993
2022,GOOGL,ALPHABET INC.,99,EmissionReductionTargetPercentage,50,
2022,GOOGL,ALPHABET INC.,100,EmissionReductionTargetYear,2030,
2023,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.8119492433
2023,GOOGL,ALPHABET INC.,92,CarbonOffsetsCredits,329,
2023,GOOGL,ALPHABET INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.7474804031
2023,GOOGL,ALPHABET INC.,99,EmissionReductionTargetPercentage,50,
2023,GOOGL,ALPHABET INC.,100,EmissionReductionTargetYear,2030,
2024,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.8099478070
2024,GOOGL,ALPHABET INC.,94,ClimateChangeCommercialRisksOpportunities,true,0.7032474804
2024,GOOGL,ALPHABET INC.,99,EmissionReductionTargetPercentage,50,
2024,GOOGL,ALPHABET INC.,100,EmissionReductionTargetYear,2030,
2018,JPM,JPMORGAN CHASE & CO.,1,ESGScore,A-,0.7969188435
2018,JPM,JPMORGAN CHASE & CO.,92,CarbonOffsetsCredits,184769,
2018,JPM,JPMORGAN CHASE & CO.,94,ClimateChangeCommercialRisksOpportunities,true,0.8944223108
2018,JPM,JPMORGAN CHASE & CO.,99,EmissionReductionTargetPercentage,50,
2018,JPM,JPMORGAN CHASE & CO.,100,EmissionReductionTargetYear,2020,
2019,JPM,JPMORGAN CHASE & CO.,1,ESGScore,A,0.8373489156
2019,JPM,JPMORGAN CHASE & CO.,92,CarbonOffsetsCredits,189327,
2019,JPM,JPMORGAN CHASE & CO.,94,ClimateChangeCommercialRisksOpportunities,true,0.8479318735
2019,JPM,JPMORGAN CHASE & CO.,99,EmissionReductionTargetPercentage,50,
2019,JPM,JPMORGAN CHASE & CO.,100,EmissionReductionTargetYear,2020,
2020,JPM,JPMORGAN CHASE & CO.,1,ESGScore,A-,0.7957437337
2020,JPM,JPMORGAN CHASE & CO.,92,CarbonOffsetsCredits,109926,
2020,JPM,JPMORGAN CHASE & CO.,94,ClimateChangeCommercialRisksOpportunities,true,0.8064889919
2020,JPM,JPMORGAN CHASE & CO.,99,EmissionReductionTargetPercentage,40,
2020,JPM,JPMORGAN CHASE & CO.,100,EmissionReductionTargetYear,2030,
2021,JPM,JPMORGAN CHASE & CO.,1,ESGScore,A-,0.7642919928
2021,JPM,JPMORGAN CHASE & CO.,92,CarbonOffsetsCredits,129527,
2021,JPM,JPMORGAN CHASE & CO.,94,ClimateChangeCommercialRisksOpportunities,true,0.7486910995
2021,JPM,JPMORGAN CHASE & CO.,99,EmissionReductionTargetPercentage,40,
2021,JPM,JPMORGAN CHASE & CO.,100,EmissionReductionTargetYear,2030,
2022,JPM,JPMORGAN CHASE & CO.,1,ESGScore,B+,0.7378158502
2022,JPM,JPMORGAN CHASE & CO.,92,CarbonOffsetsCredits,250448,
2022,JPM,JPMORGAN CHASE & CO.,94,ClimateChangeCommercialRisksOpportunities,true,0.6711309524
2022,JPM,JPMORGAN CHASE & CO.,99,EmissionReductionTargetPercentage,69,
2022,JPM,JPMORGAN CHASE & CO.,100,EmissionReductionTargetYear,2030,
2023,JPM,JPMORGAN CHASE & CO.,1,ESGScore,B+,0.7270950576
2023,JPM,JPMORGAN CHASE & CO.,92,CarbonOffsetsCredits,374417,
2023,JPM,JPMORGAN CHASE & CO.,94,ClimateChangeCommercialRisksOpportunities,true,0.6356783920
2023,JPM,JPMORGAN CHASE & CO.,99,EmissionReductionTargetPercentage,26,
2023,JPM,JPMORGAN CHASE & CO.,100,EmissionReductionTargetYear,2030,
2024,JPM,JPMORGAN CHASE & CO.,1,ESGScore,B+,0.7119440485
2024,JPM,JPMORGAN CHASE & CO.,92,CarbonOffsetsCredits,367311,
2024,JPM,JPMORGAN CHASE & CO.,94,ClimateChangeCommercialRisksOpportunities,true,0.6099009901
2024,JPM,JPMORGAN CHASE & CO.,99,EmissionReductionTargetPercentage,24,
2024,JPM,JPMORGAN CHASE & CO.,100,EmissionReductionTargetYear,2030,
2025,JPM,JPMORGAN CHASE & CO.,1,ESGScore,B+,0.7033654730
2018,MSFT,MICROSOFT CORPORATION,1,ESGScore,A+,0.9312492289
2018,MSFT,MICROSOFT CORPORATION,92,CarbonOffsetsCredits,652282,
2018,MSFT,MICROSOFT CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.9399092971
2018,MSFT,MICROSOFT CORPORATION,99,EmissionReductionTargetPercentage,20,
2018,MSFT,MICROSOFT CORPORATION,100,EmissionReductionTargetYear,2030,
2019,MSFT,MICROSOFT CORPORATION,1,ESGScore,A+,0.9285393963
2019,MSFT,MICROSOFT CORPORATION,92,CarbonOffsetsCredits,781345,
2019,MSFT,MICROSOFT CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.9347408829
2019,MSFT,MICROSOFT CORPORATION,99,EmissionReductionTargetPercentage,75,
2019,MSFT,MICROSOFT CORPORATION,100,EmissionReductionTargetYear,2030,
2020,MSFT,MICROSOFT CORPORATION,1,ESGScore,A+,0.9334139062
2020,MSFT,MICROSOFT CORPORATION,92,CarbonOffsetsCredits,612927,
