year,ticker,comname,fieldid,fieldname,value,valuescore
2018,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7759271833
2018,OXY,OCCIDENTAL PETROLEUM CORPORATION,2,ESGCombinedScore,A-,0.7759271833
2018,OXY,OCCIDENTAL PETROLEUM CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2018,OXY,OCCIDENTAL PETROLEUM CORPORATION,95,CO2EquivalentsEmissionDirectScope1,10370000,
2018,OXY,OCCIDENTAL PETROLEUM CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,4100000,
2018,OXY,OCCIDENTAL PETROLEUM CORPORATION,98,CO2EquivalentsEmissionTotal,14470000,
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7791211467
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,2,ESGCombinedScore,B+,0.7428214429
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,95,CO2EquivalentsEmissionDirectScope1,22340000,
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,96,CO2EquivalentsEmissionIndirectScope3,260000000,
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,5310000,
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,98,CO2EquivalentsEmissionTotal,27650000,
2020,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7656466891
2020,OXY,OCCIDENTAL PETROLEUM CORPORATION,2,ESGCombinedScore,B-,0.5015733445
2020,OXY,OCCIDENTAL PETROLEUM CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
